Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD,,Summary Statistics,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,474,,,
ASUS,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,512,0,474.61,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,474.61,,,
Lenovo,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,256,0,475.2,,,
HP,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,475.72,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR5,Radeon 610M,512,0,476.15,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,476.4,,,
Dell,Intel Core i3 (11th Gen),Intel,4,DDR4,UHD,256,0,477.59,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,256,1024,477.92,,,
HP,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,256,1024,478.24,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,478.56,,,
HP,Intel Core i5 (5th Gen),Intel,4,DDR3,HD 5500,0,1024,478.68,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,478.8,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,478.8,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,478.8,,,
HP,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,478.8,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,478.8,,,
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,479.88,,,
Xiaomi,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,479.88,,,
ASUS,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,479.88,,,
Honor,Intel Core i3 (10th Gen),Intel,8,NA,UHD,256,0,479.88,,,
Zebronics,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,479.88,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,512,0,479.88,,,
Lenovo,Intel Core i5 (10th Gen),Intel,4,DDR4,UHD,256,0,479.88,,,
Lenovo,Intel Core i5 (7th Gen),Intel,4,DDR4,HD 620,0,1024,479.88,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,1024,479.88,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,479.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,479.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,GeForce MX110,0,1024,479.88,,,
ASUS,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,479.88,,,
Lenovo,Intel Core i3 (8th Gen),Intel,4,DDR4,UHD 620,256,0,479.88,,,
ASUS,Intel Core i5 (8th Gen),Intel,4,DDR4,UHD 620,0,1024,479.88,,,
Honor,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,256,0,479.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,479.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,479.88,,,
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,Integrated,512,0,479.88,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,256,0,479.88,,,
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,512,0,479.88,,,
MSI,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,479.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1050,0,1024,479.88,,,
Lenovo,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,479.88,,,
Acer,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,479.88,,,
Infinix,Intel Core i5 (13th Gen),Intel,16,LPDDR5X,Iris Xe,512,0,479.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,479.88,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,479.88,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,479.88,,,
LG,Intel Core i5 (10th Gen),Intel,8,DDR4,Iris Plus,256,0,479.88,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,0,1024,479.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,4,DDR4,Radeon Vega 8,256,0,479.88,,,
HP,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,479.96,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,0,1024,479.99,,,
Acer,AMD Dual-Core Athlon,AMD,4,DDR4,Radeon Vega 3,0,1024,479.99,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,480.37,,,
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,481.58,,,
HP,Intel Core i3 (7th Gen),Intel,8,DDR4,GeForce MX110,0,1024,482.06,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR3,HD 520,0,1024,482.28,,,
Dell,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon Vega,256,0,482.28,,,
HP,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,482.76,,,
HP,Intel Core i3 (12th Gen),Intel,16,DDR4,UHD,512,0,483,,,
ASUS,Intel Core i5 (4th Gen),Intel,4,DDR3,GeForce GT 820M,0,500,484.8,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated UHD,512,0,485.7,,,
HP,Intel Core i5 (8th Gen),Intel,4,DDR4,UHD 620,0,1024,485.88,,,
Dell,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,486,,,
HP,Intel Pentium Dual-Core,Intel,8,DDR4,UHD,0,1024,486.6,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,512,0,486.89,,,
Dell,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,487.08,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,487.44,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,487.72,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,487.92,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,488.16,,,
Dell,Intel Core i5 (7th Gen),Intel,4,DDR4,Radeon R5 M430 ,0,1024,488.36,,,
MSI,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,490.07,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,256,1024,490.2,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,490.79,,,
Lenovo,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,490.79,,,
Lenovo,Intel Core i3 (6th Gen),Intel,4,DDR4,HD 520,0,1024,491.28,,,
Dell,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,491.76,,,
Dell,Intel Core i5 (13th Gen),Intel,8,DDR4,UHD,512,0,491.76,,,
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,491.88,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,491.88,,,
MSI,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,491.88,,,
Acer,Intel Core i5 (8th Gen),Intel,8,DDR4,Geforce MX130,0,1024,491.88,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,1024,491.88,,,
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,491.88,,,
Lenovo,Intel Core i3 (13th Gen),Intel,8,DDR5,UHD,512,0,491.88,,,
MSI,Intel Core i3 (13th Gen),Intel,8,DDR4,Iris Xe,512,0,491.88,,,
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,491.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Geforce GTX 1650,0,1024,491.88,,,
HP,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,491.88,,,
HP,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,491.88,,,
Acer,Intel Core i5 (7th Gen),Intel,8,DDR4,Geforce MX130,0,1024,491.88,,,
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,491.88,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,491.88,,,
MSI,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,491.88,,,
Acer,AMD Dual-Core Ryzen 3,AMD,4,DDR4,Radeon Vega 6,0,1024,491.99,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,492,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,0,1024,493.2,,,
ASUS,Intel Core i5 (8th Gen),Intel,8,DDR4,Geforce MX130,0,1024,494.28,,,
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,512,0,494.47,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,495.35,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,496.68,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,496.69,,,
ASUS,Intel Core i5 (9th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,496.69,,,
HP,Intel Core i3 (8th Gen),Intel,4,DDR4,UHD 620,256,0,496.69,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,496.69,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,496.8,,,
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,497.88,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,497.88,,,
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,512,0,497.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,Integrated,512,0,497.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,497.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,4,DDR4,Radeon Vega 8,256,0,498,,,
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,498,,,
MSI,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,498,,,
ASUS,Intel Core i5 (8th Gen),Intel,8,DDR4,Geforce MX130,0,1024,499.08,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,4,DDR4,Radeon Vega 8,256,0,500.39,,,
HP,Intel Core i5 (5th Gen),Intel,4,DDR3,GeForce 820M,0,1024,501.6,,,
Acer,Intel Core i5 (7th Gen),Intel,8,DDR4,GeForce 940MX,0,1024,502.8,,,
Dell,Intel Core i5 (6th Gen),Intel,4,DDR3,HD 520,0,1024,503.04,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,1024,503.76,,,
ASUS,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon Vega 3,512,0,503.88,,,
Honor,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,503.88,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,503.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,16,DDR4,UHD,512,0,503.88,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,1024,503.88,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,503.88,,,
Lenovo,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,0,503.88,,,
Honor,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,512,0,503.88,,,
MSI,AMD Octa-Core Ryzen 7,AMD,8,DDR4,Radeon,512,0,503.88,,,
Dell,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,503.88,,,
Dell,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,503.88,,,
Acer,Intel Core i3 (12th Gen),Intel,8,LPDDR5,UHD,512,0,503.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,503.88,,,
Lenovo,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,503.88,,,
Acer,Intel Core i5 (6th Gen),Intel,4,DDR3,HD 520,256,0,503.88,,,
Dell,Intel Core i3 (7th Gen),Intel,4,DDR4,HD Graphics 620,0,1024,503.88,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon,128,1024,503.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,0,1024,503.88,,,
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce MX450,512,0,503.88,,,
HP,AMD Dual-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,503.88,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,503.99,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,503.99,,,
AVITA,Intel Core i5 (8th Gen),Intel,8,DDR3,UHD 620,512,0,503.99,,,
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,1024,0,503.99,,,
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,503.99,,,
ASUS,Intel Core i3 (5th Gen),Intel,4,DDR3,GeForce 930M,0,1024,504,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,0,504.52,,,
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,505.01,,,
ASUS,Intel Core i5 (7th Gen),Intel,8,DDR4,GeForce GT 940MX,0,1024,505.08,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,Integrated,256,1024,507.48,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,507.48,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,508.78,,,
HP,Intel Core i5 (6th Gen),Intel,4,DDR4,Radeon R5 M430,0,1024,508.8,,,
Lenovo,Intel Core i3 (11th Gen),Intel,4,DDR4,UHD,256,0,509.88,,,
AVITA,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon RX Vega 10,512,0,509.9,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,1024,509.99,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,512,0,510,,,
HP,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,510,,,
Lenovo,Intel Core i5 (5th Gen),Intel,4,DDR3,HD,8,500,510,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,513.25,,,
HP,Intel Core i5 (8th Gen),Intel,4,DDR4,Radeon 520,0,1024,514.68,,,
Acer,Intel Core i5 (7th Gen),Intel,8,DDR4,GeForce 940MX,0,1024,514.8,,,
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,256,0,514.82,,,
Nokia,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,512,0,515,,,
MSI,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,515.88,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,Integrated,512,0,515.88,,,
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,515.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,Integrated,512,0,515.88,,,
Acer,Intel Core i7 (11th Gen),Intel,16,DDR4,Iris Xe,1024,0,515.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
Acer,Intel Core i5 (12th Gen),Intel,8,DDR5,Iris Xe,512,0,515.88,,,
Infinix,Intel Core i7 (11th Gen),Intel,16,LPDDR4X,Iris Xe,1024,0,515.88,,,
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,256,1024,515.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,515.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon,512,0,515.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,Integrated,512,0,515.88,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
Lenovo,AMD Octa-Core Ryzen 7,AMD,8,DDR4,Radeon,512,0,515.88,,,
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,515.88,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,515.88,,,
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,515.88,,,
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,515.88,,,
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,515.88,,,
MSI,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,515.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,515.88,,,
Honor,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,256,0,515.88,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,0,1024,515.88,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,515.88,,,
ASUS,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,512,0,515.88,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,515.88,,,
HP,Intel Core i5 (7th Gen),Intel,8,DDR4,Radeon 520,0,1024,515.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,515.88,,,
AVITA,Intel Core i5 (7th Gen),Intel,8,DDR3,HD 615,256,0,515.88,,,
ASUS,Intel Core i5 (6th Gen),Intel,4,DDR3,GeForce 930M,0,1024,515.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,GeForce MX110,0,1024,515.88,,,
Realme,Intel Core i3 (11th Gen),Intel,8,LPDDR4X,UHD,256,0,515.99,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,515.99,,,
Dell,Intel Core i5 (7th Gen),Intel,8,DDR3,Radeon HD 8210,0,1024,515.99,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,1024,515.99,,,
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,515.99,,,
Dell,Intel Core i3 (13th Gen),Intel,8,LPDDR5,UHD,256,0,516,,,
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,0,1024,516,,,
Dell,Intel Core i3 (7th Gen),Intel,4,DDR4,HD 620,0,1024,516.7,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,1024,517.2,,,
ASUS,AMD Octa-Core Ryzen 7,AMD,8,DDR4,Radeon R3,512,0,517.67,,,
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,517.75,,,
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,518.29,,,
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,520.08,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,520.68,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,520.8,,,
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,Integrated,512,0,521.87,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon 610M,512,0,521.88,,,
Lenovo,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,521.88,,,
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,521.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,521.99,,,
HP,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,0,1024,521.99,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,Integrated,256,0,522,,,
HP,Intel Core i3 (8th Gen),Intel,8,DDR4,UHD 620,0,1024,522,,,
Acer,Intel Core i5 (8th Gen),Intel,4,DDR4,UHD 620,256,0,522,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,522.08,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,526.04,,,
HP,AMD Quad-Core Ryzen 3,AMD,8,LPDDR5,Radeon,512,0,526.68,,,
Honor,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,526.68,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,1024,526.79,,,
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,512,0,527.88,,,
Infinix,Intel Core i5 (13th Gen),Intel,16,LPDDR4X,Iris Xe,512,0,527.88,,,
Lenovo,Intel Core i3 (13th Gen),Intel,8,DDR5,UHD,512,0,527.88,,,
Infinix,Intel Core i7 (12th Gen),Intel,16,LPDDR5,Iris Xe,512,0,527.88,,,
ASUS,Intel Core i5 (8th Gen),Intel,4,DDR4,UHD 620,0,1024,527.88,,,
HP,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,512,0,527.88,,,
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,Integrated,512,0,527.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,16,DDR5,Radeon,512,0,527.88,,,
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,512,0,527.88,,,
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,256,0,527.88,,,
Realme,Intel Core i5 (11th Gen),Intel,8,LPDDR4X,Iris Xe,512,0,527.88,,,
Acer,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,0,1024,527.88,,,
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,527.88,,,
Dell,Intel Core i3 (11th Gen),Intel,4,DDR4,UHD,256,0,527.88,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,527.88,,,
HP,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,527.99,,,
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,1024,529.2,,,
Acer,Intel Core i5 (10th Gen),Intel,4,DDR4,UHD,0,1024,530.02,,,
Dell,Intel Core i5 (7th Gen),Intel,4,DDR4,Radeon R5 M430,0,1024,530.18,,,
Lenovo,Intel Core i3 (13th Gen),Intel,8,LPDDR5,UHD,512,0,530.28,,,
HP,Intel Core i3 (5th Gen),Intel,4,DDR3,GeForce 830M,0,1024,530.28,,,
Acer,Intel Core i5 (11th Gen),Intel,8,DDR3,Iris Xe,0,1024,530.47,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,531.29,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,1024,532.2,,,
HP,Intel Core i3 (10th Gen),Intel,4,DDR4,UHD,256,0,533.29,,,
MSI,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,533.99,,,
Lenovo,Intel Core i3 (11th Gen),Intel,4,DDR4,UHD,256,0,533.99,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,4,DDR4,Radeon Vega 8,0,1024,534,,,
MSI,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,534.23,,,
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,535.19,,,
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,256,1024,535.33,,,
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,535.58,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,LPDDR4,UHD,0,1024,536.33,,,
Dell,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,537.48,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,0,1024,537.54,,,
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,537.6,,,
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon 610M,512,0,537.6,,,
Dell,AMD Quad-Core Ryzen 5,AMD,8,DDR4,Radeon Vega 8,512,0,538.26,,,
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,538.68,,,
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,0,1024,538.68,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD Graphics,512,0,538.79,,,
HP,Intel Core i5 (6th Gen),Intel,4,DDR4,Radeon R5 M430,0,1024,538.8,,,
Dell,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,538.8,,,
Dell,Intel Core i5 (5th Gen),Intel,4,DDR3,GeForce 820M,0,500,539.28,,,
ASUS,AMD Quad-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,539.76,,,
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,UHD,512,0,539.88,,,
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,Iris Xe,512,0,539.88,,,
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,539.88,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,1024,539.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,Geforce MX150,0,1024,539.88,,,
Lenovo,Intel Core i5 (8th Gen),Intel,8,DDR4,UHD 620,256,1024,539.88,,,
ASUS,Intel Core i3 (8th Gen),Intel,8,DDR4,UHD 620,256,1024,539.88,,,
ASUS,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,539.88,,,
Dell,Intel Core i5 (8th Gen),Intel,8,DDR4,Radeon 520,0,1024,539.88,,,
HP,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon,512,0,539.88,,,
Lenovo,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,539.88,,,
ASUS,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,539.88,,,
