Brand,CPU,CPU_BRAND,RAM(GB),RAM_TYPE,GPU,SSD(GB),HDD(GB),USD
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,671.88
Infinix,Intel Core i5 (10th Gen),Intel,8,LPDDR4X,UHD,512,0,575.99
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,626.22
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon RX 5500M,512,0,647.99
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 2050,512,0,599.88
HP,AMD Quad-Core Ryzen 3,AMD,8,DDR4,Radeon,512,0,527.99
Acer,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,587.88
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,717.6
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,672.77
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce GTX 3050,512,0,695.88
Acer,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,646.68
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,617.88
HP,Intel Core i7 (11th Gen),Intel,16,DDR4,Iris Xe,1024,0,923.99
MSI,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon RX6500M,512,0,743.88
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650 MAX Q,512,0,573.23
Acer,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,755.88
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,659.99
Lenovo,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,GeForce GTX 1650,512,0,864
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon Graphics,512,0,606.82
Dell,Intel Core i3 (10th Gen),Intel,8,DDR4,UHD,256,1024,532.2
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,749.88
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,664.8
Lenovo,Intel Core i5 (10th Gen),Intel,8,DDR4,GeForce GTX 1650,256,1024,731.88
HP,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce GTX 1650,512,0,730.8
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,537.6
HP,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,587.88
MSI,Intel Core i7 (7th Gen),Intel,8,DDR4,GeForce GTX 1050,0,1024,815.88
ASUS,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,707.88
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,891
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,256,1024,818.4
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,256,1024,685.19
MSI,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,515.88
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,719.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,580.93
ASUS,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,894
Acer,Intel Core i5 (12th Gen),Intel,8,DDR4,Geforce RTX 3050,512,0,827.88
MSI,Intel Core i7 (11th Gen),Intel,8,DDR4,GeForce GTX 1650 MAX Q,512,0,857.88
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,779.88
MSI,Intel Core i5 (10th Gen),Intel,16,DDR4,GeForce RTX 3060,512,0,839.88
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,0,1024,621.48
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,665.88
Dell,Intel Core i5 (12th Gen),Intel,8,DDR4,Integrated,512,0,551.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,625.2
Honor,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,503.88
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,713.88
Dell,Intel Core i3 (11th Gen),Intel,8,DDR4,Integrated,256,0,767.99
HP,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon,512,0,611.88
HP,AMD Quad-Core Ryzen 5,AMD,8,LPDDR5,Radeon,512,0,557.88
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,818.54
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,803.88
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,GeForce RTX 3050,512,0,731.88
Lenovo,AMD Quad-Core Ryzen 5,AMD,8,DDR4,GeForce RTX 2050,512,0,695.88
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,687.6
Acer,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,575.88
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,Integrated,512,0,623.99
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon RX 6500M,512,0,671.99
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,791.88
Dell,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon RX 5600M,512,0,903.6
HP,Intel Core i7 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,929.88
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,839.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,575.88
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,743.88
ASUS,Intel Core i3 (11th Gen),Intel,8,LPDDR4X,UHD Graphics,256,0,563.88
HP,AMD Hexa-Core Ryzen 5,AMD,16,DDR5,Radeon,512,0,763.99
HP,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,866.28
Dell,Intel Core i5 (12th Gen),Intel,8,DDR4,Integrated,512,0,587.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce MX450,256,1024,834
Dell,Intel Core i5 (12th Gen),Intel,8,DDR4,Integrated,256,1024,767.88
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,539.99
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,585.48
ASUS,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,526.04
HP,Intel Core i5 (13th Gen),Intel,8,DDR4,Iris Xe,1024,0,719.99
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce GTX 1650,512,0,634.25
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,923.99
HP,Intel Core i5 (13th Gen),Intel,16,DDR4,Integrated,512,0,683.99
ASUS,Intel Core i5 (10th Gen),Intel,8,DDR4,Integrated,512,0,515.88
MSI,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,534.23
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650 Ti,512,0,816
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,936
HP,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,896.68
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,863.4
ASUS,Intel Core i7 (12th Gen),Intel,16,DDR4,UHD,512,0,779.88
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,512,0,527.88
Lenovo,Intel Core i5 (13th Gen),Intel,16,LPDDR5,Iris Xe,512,0,803.88
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR5,GeForce RTX 3050,512,0,767.88
Lenovo,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,256,0,599.94
Acer,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,593.17
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,803.99
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,515.99
ASUS,Intel Core i7 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,683.88
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce MX330,256,1024,566.24
MSI,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,512,0,515.88
Dell,Intel Core i3 (10th Gen),Intel,4,DDR4,Integrated,256,1024,507.48
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 3050,256,1024,849.6
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,UHD,512,0,755.99
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce MX450,512,0,755.99
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,779.88
HP,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,599.99
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,256,1024,656.99
Lenovo,Intel Core i5 (12th Gen),Intel,16,LPDDR5,UHD,512,0,743.88
ASUS,Intel Core i5 (12th Gen),Intel,8,DDR4,Iris Xe,512,0,779.88
ASUS,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,767.88
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce MX330,512,0,683.99
HP,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,961.39
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,GeForce RTX 3050,512,0,983.88
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,Iris Xe,512,0,539.88
HP,Intel Core i3 (13th Gen),Intel,8,DDR4,Integrated,512,0,521.87
Lenovo,Intel Core i3 (13th Gen),Intel,8,LPDDR5,UHD,512,0,551.88
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce GTX 1650,512,0,730.8
HP,Intel Core i5 (13th Gen),Intel,16,DDR4,Integrated,1024,0,946.8
Dell,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,633.6
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,GeForce RTX 3050,512,0,791.88
Dell,Intel Core i5 (11th Gen),Intel,4,DDR4,Iris Xe,256,1024,665.99
Samsung,Intel Core i7 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,743.88
Zebronics,Intel Core i7 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,611.88
Zebronics,Intel Core i7 (12th Gen),Intel,16,DDR4,Iris Xe,1024,0,635.88
ASUS,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce RTX 2050,1024,0,755.88
Dell,Intel Core i5 (12th Gen),Intel,8,DDR4,UHD,512,0,569.88
HP,Intel Core i5 (12th Gen),Intel,16,LPDDR4X,Iris Xe,512,0,974.39
ASUS,AMD Hexa-Core Ryzen 5,AMD,16,DDR4,Radeon,512,0,635.88
Dell,Intel Core i5 (12th Gen),Intel,16,DDR5,GeForce RTX 3050,512,0,836.4
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe Graphics,512,0,731.88
Dell,AMD Hexa-Core Ryzen 5,AMD,8,DDR5,GeForce RTX 3050,512,0,794.58
Infinix,Intel Core i7 (10th Gen),Intel,16,LPDDR4X,UHD,512,0,551.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce GTX 1650,512,0,756
MSI,Intel Core i7 (12th Gen),Intel,8,DDR4,GeForce RTX 3050,512,0,779.88
Acer,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,874.79
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce RTX 3050 Ti,512,0,833.88
Lenovo,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 3050,512,0,786.56
Lenovo,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon 610M,512,0,521.88
Infinix,Intel Core i5 (13th Gen),Intel,16,LPDDR4X,Iris Xe,512,0,527.88
ASUS,AMD Quad-Core Ryzen 5,AMD,16,LPDDR5,Radeon,512,0,663.6
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,Integrated,512,0,515.88
Lenovo,Intel Core i5 (12th Gen),Intel,8,DDR4,UHD,512,0,659.88
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,635.88
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,899.99
HP,Intel Core i3 (11th Gen),Intel,8,DDR4,UHD,512,0,770.48
Lenovo,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,671.88
MSI,Intel Core i5 (12th Gen),Intel,8,DDR5,GeForce RTX 3050,512,0,811.8
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,683.88
Dell,Intel Core i3 (12th Gen),Intel,8,DDR4,UHD,512,0,729.62
MSI,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,719.88
MSI,Intel Core i5 (12th Gen),Intel,16,DDR4,GeForce RTX 4060,256,1024,791.88
HP,Intel Core i5 (11th Gen),Intel,8,DDR4,GeForce MX350,0,1024,652.2
MSI,Intel Core i7 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,839.88
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,554.28
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,914.4
Lenovo,Intel Core i5 (13th Gen),Intel,16,LPDDR5,UHD,512,0,791.87
Infinix,Intel Core i7 (13th Gen),Intel,32,LPDDR5X,Iris Xe,1024,0,803.88
ASUS,Intel Core i5 (13th Gen),Intel,16,DDR4,Iris Xe,512,0,779.88
MSI,Intel Core i5 (12th Gen),Intel,16,DDR5,GeForce RTX 3050,512,0,923.88
ASUS,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,869.99
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,GeForce MX450,512,0,923.88
Lenovo,Intel Core i7 (13th Gen),Intel,16,LPDDR5,UHD,512,0,993.48
Wings,Intel Core i7 (11th Gen),Intel,16,DDR4,Iris Plus,512,0,599.88
Dell,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,951.59
Lenovo,Intel Core i5 (12th Gen),Intel,8,DDR4,UHD,512,0,791.88
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,1024,0,791.88
ASUS,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,718.8
HP,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,GeForce RTX 3050 Ti,512,0,923.88
ASUS,Intel Core i5 (12th Gen),Intel,16,DDR4,Iris Xe,512,0,731.88
HP,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,587.99
ASUS,Intel Core i5 (10th Gen),Intel,8,LPDDR3,GeForce MX250,512,0,959.88
Acer,Intel Core i7 (11th Gen),Intel,16,DDR4,Iris Xe,1024,0,515.88
Lenovo,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,934.8
Dell,Intel Core i5 (11th Gen),Intel,8,DDR4,Integrated,256,1024,615.59
Lenovo,Intel Core i5 (11th Gen),Intel,8,DDR4,Iris Xe,512,0,792
Lenovo,AMD Octa-Core Ryzen 7,AMD,16,DDR4,Radeon,512,0,953.63
ASUS,AMD Hexa-Core Ryzen 5,AMD,8,DDR4,Radeon,512,0,575.88
Lenovo,Intel Core i5 (11th Gen),Intel,16,DDR4,Iris Xe,512,0,743.76
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88
ASUS,Intel Core i3 (13th Gen),Intel,8,DDR4,UHD,512,0,515.88
